Time Tags (Channel 1),Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
-2.39764E-07, 9.5308E-04, 9.811875154E-03, 5.8651E-04, 1.0748937751E-02, 3.37243E-03, 2.7022460331E-02, 3.34800E-03, 3.4076432683E-02, 3.22581E-03, 3.8282014978E-02, 2.66373E-03, 4.1317115616E-02, 2.71261E-03, 5.9609770169E-02, 2.66373E-03
-2.39608E-07, 8.3089E-04, 9.811875310E-03, 4.6432E-04, 1.0748937907E-02, 3.29912E-03, 2.7022460487E-02, 3.39687E-03, 3.4076432840E-02, 3.51906E-03, 3.8282015134E-02, 2.63930E-03, 4.1317115772E-02, 2.81036E-03, 5.9609770325E-02, 2.63930E-03
-2.39451E-07, 6.8426E-04, 9.811875467E-03, 3.9101E-04, 1.0748938063E-02, 3.20137E-03, 2.7022460643E-02, 3.47019E-03, 3.4076432996E-02, 3.78788E-03, 3.8282015290E-02, 2.59042E-03, 4.1317115929E-02, 2.90811E-03, 5.9609770481E-02, 2.66373E-03
-2.39295E-07, 5.6207E-04, 9.811875623E-03, 3.1769E-04, 1.0748938220E-02, 3.05474E-03, 2.7022460800E-02, 3.51906E-03, 3.4076433152E-02, 4.05670E-03, 3.8282015446E-02, 2.51711E-03, 4.1317116085E-02, 2.98143E-03, 5.9609770638E-02, 2.68817E-03
-2.39139E-07, 4.6432E-04, 9.811875779E-03, 3.1769E-04, 1.0748938376E-02, 2.93255E-03, 2.7022460956E-02, 3.61681E-03, 3.4076433308E-02, 4.32551E-03, 3.8282015603E-02, 2.46823E-03, 4.1317116241E-02, 3.07918E-03, 5.9609770794E-02, 2.76149E-03
-2.38983E-07, 3.4213E-04, 9.811875935E-03, 2.9326E-04, 1.0748938532E-02, 2.71261E-03, 2.7022461112E-02, 3.69013E-03, 3.4076433465E-02, 4.54545E-03, 3.8282015759E-02, 2.37048E-03, 4.1317116397E-02, 3.12805E-03, 5.9609770950E-02, 2.78592E-03
-2.38826E-07, 2.6882E-04, 9.811876092E-03, 3.1769E-04, 1.0748938688E-02, 2.51711E-03, 2.7022461268E-02, 3.78788E-03, 3.4076433621E-02, 4.76540E-03, 3.8282015915E-02, 2.32160E-03, 4.1317116554E-02, 3.17693E-03, 5.9609771106E-02, 2.85924E-03
-2.38670E-07, 1.4663E-04, 9.811876248E-03, 3.4213E-04, 1.0748938845E-02, 2.27273E-03, 2.7022461425E-02, 3.83675E-03, 3.4076433777E-02, 4.91202E-03, 3.8282016071E-02, 2.22385E-03, 4.1317116710E-02, 3.17693E-03, 5.9609771263E-02, 2.93255E-03
-2.38514E-07, 9.775E-05, 9.811876404E-03, 4.3988E-04, 1.0748939001E-02, 2.07722E-03, 2.7022461581E-02, 3.93451E-03, 3.4076433933E-02, 5.05865E-03, 3.8282016228E-02, 2.17498E-03, 4.1317116866E-02, 3.20137E-03, 5.9609771419E-02, 3.03030E-03
-2.38358E-07, 4.888E-05, 9.811876560E-03, 5.1320E-04, 1.0748939157E-02, 1.80841E-03, 2.7022461737E-02, 4.00782E-03, 3.4076434090E-02, 5.15640E-03, 3.8282016384E-02, 2.12610E-03, 4.1317117022E-02, 3.12805E-03, 5.9609771575E-02, 3.12805E-03
-2.38201E-07, 2.444E-05, 9.811876717E-03, 6.3539E-04, 1.0748939313E-02, 1.61290E-03, 2.7022461893E-02, 4.10557E-03, 3.4076434246E-02, 5.22972E-03, 3.8282016540E-02, 2.10166E-03, 4.1317117179E-02, 3.10362E-03, 5.9609771731E-02, 3.25024E-03
-2.38045E-07, -2.444E-05, 9.811876873E-03, 7.3314E-04, 1.0748939470E-02, 1.34409E-03, 2.7022462050E-02, 4.13001E-03, 3.4076434402E-02, 5.20528E-03, 3.8282016696E-02, 2.05279E-03, 4.1317117335E-02, 2.95699E-03, 5.9609771888E-02, 3.32356E-03
-2.37889E-07, -2.444E-05, 9.811877029E-03, 9.0420E-04, 1.0748939626E-02, 1.14858E-03, 2.7022462206E-02, 4.22776E-03, 3.4076434558E-02, 5.18084E-03, 3.8282016853E-02, 2.05279E-03, 4.1317117491E-02, 2.85924E-03, 5.9609772044E-02, 3.44575E-03
